strategy,tilt,max_weight,original_annual,enhanced_annual,improvement,enhanced_sharpe,enhanced_drawdown,original_sharpe
R4,0.2,0.05,0.2333042187161416,0.23516641921663273,0.001862200500491129,1.3055273934778575,-0.18534002200353583,1.295503343591384
R4,0.3,0.05,0.2333042187161416,0.23606114260267108,0.002756923886529483,1.310298478824352,-0.18504323603766093,1.295503343591384
R4,0.4,0.05,0.2333042187161416,0.2369328591002251,0.0036286403840835035,1.3149180003668006,-0.18475939162065114,1.295503343591384
R4,0.5,0.05,0.2333042187161416,0.2377824429934745,0.0044782242773329095,1.3193923252670758,-0.1844826820804084,1.295503343591384
R4,0.6,0.05,0.2333042187161416,0.23861072490850943,0.0053065061923678325,1.3237275002532334,-0.18421284186278253,1.295503343591384
R4,0.7,0.05,0.2333042187161416,0.23941849449990493,0.006114275783763334,1.3279292697520402,-0.18394961842450935,1.295503343591384
R4,0.8,0.05,0.2333042187161416,0.24020650294164847,0.006902284225506872,1.3320030929317221,-0.18369277144634358,1.295503343591384
R4,1.0,0.05,0.2333042187161416,0.24172606237499727,0.008421843658855677,1.3397874058532047,-0.1831973023824559,1.295503343591384
R4,1.2,0.05,0.2333042187161416,0.2431747268297113,0.00987050811356971,1.3471189922048503,-0.18272473010031481,1.295503343591384
R4,1.5,0.05,0.2333042187161416,0.24522526383110765,0.011921045114966056,1.3573429972863091,-0.1820554488108243,1.295503343591384
R4,0.2,0.08,0.2333042187161416,0.23516641921663273,0.001862200500491129,1.3055273934778575,-0.18534002200353583,1.295503343591384
R4,0.3,0.08,0.2333042187161416,0.23606114260267108,0.002756923886529483,1.310298478824352,-0.18504323603766093,1.295503343591384
R4,0.4,0.08,0.2333042187161416,0.2369328591002251,0.0036286403840835035,1.3149180003668006,-0.18475939162065114,1.295503343591384
R4,0.5,0.08,0.2333042187161416,0.2377824429934745,0.0044782242773329095,1.3193923252670758,-0.1844826820804084,1.295503343591384
R4,0.6,0.08,0.2333042187161416,0.23861072490850943,0.0053065061923678325,1.3237275002532334,-0.18421284186278253,1.295503343591384
R4,0.7,0.08,0.2333042187161416,0.23941849449990493,0.006114275783763334,1.3279292697520402,-0.18394961842450935,1.295503343591384
R4,0.8,0.08,0.2333042187161416,0.24020650294164847,0.006902284225506872,1.3320030929317221,-0.18369277144634358,1.295503343591384
R4,1.0,0.08,0.2333042187161416,0.24172606237499727,0.008421843658855677,1.3397874058532047,-0.1831973023824559,1.295503343591384
R4,1.2,0.08,0.2333042187161416,0.2431747268297113,0.00987050811356971,1.3471189922048503,-0.18272473010031481,1.295503343591384
R4,1.5,0.08,0.2333042187161416,0.24522526383110765,0.011921045114966056,1.3573429972863091,-0.1820554488108243,1.295503343591384
R4,0.2,0.1,0.2333042187161416,0.23516641921663273,0.001862200500491129,1.3055273934778575,-0.18534002200353583,1.295503343591384
R4,0.3,0.1,0.2333042187161416,0.23606114260267108,0.002756923886529483,1.310298478824352,-0.18504323603766093,1.295503343591384
R4,0.4,0.1,0.2333042187161416,0.2369328591002251,0.0036286403840835035,1.3149180003668006,-0.18475939162065114,1.295503343591384
R4,0.5,0.1,0.2333042187161416,0.2377824429934745,0.0044782242773329095,1.3193923252670758,-0.1844826820804084,1.295503343591384
R4,0.6,0.1,0.2333042187161416,0.23861072490850943,0.0053065061923678325,1.3237275002532334,-0.18421284186278253,1.295503343591384
R4,0.7,0.1,0.2333042187161416,0.23941849449990493,0.006114275783763334,1.3279292697520402,-0.18394961842450935,1.295503343591384
R4,0.8,0.1,0.2333042187161416,0.24020650294164847,0.006902284225506872,1.3320030929317221,-0.18369277144634358,1.295503343591384
R4,1.0,0.1,0.2333042187161416,0.24172606237499727,0.008421843658855677,1.3397874058532047,-0.1831973023824559,1.295503343591384
R4,1.2,0.1,0.2333042187161416,0.2431747268297113,0.00987050811356971,1.3471189922048503,-0.18272473010031481,1.295503343591384
R4,1.5,0.1,0.2333042187161416,0.24522526383110765,0.011921045114966056,1.3573429972863091,-0.1820554488108243,1.295503343591384
R4,0.2,0.15,0.2333042187161416,0.23516641921663273,0.001862200500491129,1.3055273934778575,-0.18534002200353583,1.295503343591384
R4,0.3,0.15,0.2333042187161416,0.23606114260267108,0.002756923886529483,1.310298478824352,-0.18504323603766093,1.295503343591384
R4,0.4,0.15,0.2333042187161416,0.2369328591002251,0.0036286403840835035,1.3149180003668006,-0.18475939162065114,1.295503343591384
